left_top_words,right_top_words
wuhan,covid
outbreak,19
mr,covid 19
officials,pandemic
dr,trump
sars,life
united,deaths
united states,2020
year,american
china,world
authorities,economics sensibility
viruses,sensibility
new year,finance economics
percent,economics
masks,every
central,president
lunar,finance
health,right
html,first
lunar new,coronavirus pandemic
ms,story
investors,senator
said dr,content
local,numbers
spreading,house
flu,americans
person,work
respiratory,way
online,12
states,country
passengers,weeks
symptoms,likely
holiday,state
recently,two
new coronavirus,day
japan,institute
users,number
contain,good
chinese,times
fell,based
bank,positive
fever,better
new virus,department
worried,last
rates,governor
epidemic,press
cities,medical
new,many
public health,doctors
orange,years
orange county,10
sick,back
health officials,sense
ebola,release
officials said,late
illness,cases
visited,distancing
interest rates,going
confirmed,recorded
stocks,slow
shares,quite
financial,social distancing
bats,even
diseases,communist
within,testing
fell percent,told
outbreaks,research
company,data
hospitals,death
east,businesses
disease,millions
patient,need
flight,children
mask,following
people infected,true
monetary,economic
email,see
contain outbreak,election
often,use
infectious,schools
leaders,tweet
infections,black
internet,virus
river,human
infection,care
expected,model
visited wuhan,15
tourists,italy
britain,indeed
bryant,intelligence
air,thousands
sales,joe
end,16
surgical masks,communist party
last year,rate
sent,government
remains,different
said would,organization
reportedly,join
avast,lot
humans,lab
traveled,inboxnow
japanese,order
wearing,may
sars outbreak,comes
virus spreading,think
sale,opening
asia,federal
major,14
information,yet
nose,however
centers disease,white house
woman,chinese communist
struggles,lockdowns
quarter,month
case,part
daszak,job
airlines,daily
visiting,iran
mers,issue
videos,security
ill,immunity
control prevention,higher
coronavirus html,non
apple,biden
2003,support
leave,note
handful,12 11
year holiday,know
infectious diseases,michael
tax,tests
start,december
factories,20
risen,response
case united,worth
limited,virology
sometimes,cov
wuhan handful,sars cov
traveler,made
residents,access
panic,america
surgical,look
prince,institute virology
posting,strategy
recently visited,health organization
ncov,funeral
cough,white
county health,crisis
care agency,cuomo
live,national review
